ID,GUID,createdtweet,DateLocal,idtweet,usertweet,TweetMsg,SearchParameter,retweeted,retweet_count,lang
74,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:05,2020-09-03 23:32:05,1301739789150896129,It was Obvious,@ProudSocialist @JoeBiden How is he taking you for granted?,JoeBiden,0,0,en
75,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:05,2020-09-03 23:32:05,1301739788748292096,I Hate The Media 🇺🇸,"RT @Choose_2020: Breaking news.  Multiple anonymous sources have confirmed that @JoeBiden is incapable of taking direct, unscripted questio…",JoeBiden,0,2,en
76,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:05,2020-09-03 23:32:05,1301739788341587968,marquis walker,@anradila17 @BobQuarantine @JoeBiden People forget how f'd up Bush murdered the United States. Obama had to come af… https://t.co/JihnvaeICD,JoeBiden,0,0,en
77,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:05,2020-09-03 23:32:05,1301739787527712769,Treat Williams,"RT @KaivanShroff: NEW: @JoeBiden, “If I have the honor of serving as the next commander in chief, I will ensure that our American heroes kn…",JoeBiden,0,681,en
78,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:04,2020-09-03 23:32:04,1301739784923156482,Lola Greer,"RT @KimonaQ: 😐 CAN YOU IDENTIFY A LIAR 😐

@DrPhil HELPS US SEE THE LYING STYLE THAT @JoeBiden HAS

#Biden #BidenHarris2020 #Trump2020 #Trum…",JoeBiden,0,225,en
79,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:04,2020-09-03 23:32:04,1301739783996153857,Kathleen Willett🌈🌊🌊🌊🌊🌊🌊🌊🌊🌊,RT @B52Malmet: Our world is full of pain and anguish on so many levels. Knowing that @JoeBiden and Dr. Jill Biden met with the Blake family…,JoeBiden,0,637,en
80,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:04,2020-09-03 23:32:04,1301739783660752897,Susanna Lopez,"RT @CoryBooker: The polls may show @JoeBiden in the lead now, but don't get complacent for one second. We need to keep fighting until every…",JoeBiden,0,6880,en
81,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:03,2020-09-03 23:32:03,1301739782335201280,Katee Dee,@LinDesigns111 @JoeBiden You say no debates .... the rest of us would to see him debate trump. We can bring light to how he is not fit,JoeBiden,0,0,en
82,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:03,2020-09-03 23:32:03,1301739781509046272,Jiji Nair,"RT @counterchekist: While @realdonaldtRUmp is #HidinFromBiden behind his sad little Twitter rants, @JoeBiden is out there working to heal o…",JoeBiden,0,431,en
83,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:03,2020-09-03 23:32:03,1301739780904894466,Purity For Thee But Not For Me🗳️📩🐝,"RT @kenolin1: Before @JoeBiden agrees to debate @realDonaldTrump he should insist @ddale8 be on split-screen, fact checking in real time.",JoeBiden,0,59,en
84,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:03,2020-09-03 23:32:03,1301739780384780289,Michael OHara,"RT @ChrisDJackson: You know who respects our veterans? @JoeBiden.

Pass it on. https://t.co/9sRRt18xbq",JoeBiden,0,3620,en
85,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:03,2020-09-03 23:32:03,1301739780254949377,Fedupindependentvote,RT @LeeSmithDC: Three things clear about Atlantic article: 1) It's intended to reinforce info op re election chaos &amp; suggest big DoD push a…,JoeBiden,0,212,en
86,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:03,2020-09-03 23:32:03,1301739780120608769,Brian Gomes,"RT @mmpadellan: @JoeBiden @tracyk726 You could have just put a period after ""are the worst people"" and it would have still been correct.",JoeBiden,0,689,en
87,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:03,2020-09-03 23:32:03,1301739778673709057,Deb,"RT @TruthsOverTrump: There is one presidential candidate who respects our military, who fights for our troops &amp; their families, whose son s…",JoeBiden,0,225,en
